category,question,answer
열린총장실#총장실,세명대학교 총장님에 대해 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 총장""}, {""type"": ""text"", ""text"": ""해당사이트로 안내하겠습니다.제 8,9대 '이용걸' 총장님입니다.""}, {""type"": ""buttons"", ""layout"": ""vertical"", ""elements"": [{""type"": ""web_url"", ""text"": ""총장 안내"", ""url"": ""http://www.semyung.ac.kr/kor/sub01_02_03_01.do""}]}]}]"
세명교육#기획실,세명대학교 건학이념에 대해 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 건학이념""}, {""type"": ""text"", ""text"": ""\""세상을 밝게 비추다\""\n위세광명은 우수한 인재를 양성하여 세상을 밝히는 것을 의미합니다.\n이는 세상에 빛이 되는 인재를 양성하여 인류를 크게 유익케 한다는 뜻이기에 대한민국의 교육이념인 홍익인간과 그 뜻을 같이하며, 인류애와 박애정신을 근본으로 하여, 자유와 평등 그리고 평화를 아우르는 개념입니다. 이는 또한 학생을 교육하고 진리를 탐구하여 인류에 봉사하는 대학 본연의 임무와도 일맥상통합니다.""}]}]"
세명교육#기획실,세명대학교 인재상을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 인재상""}, {""type"": ""text"", ""text"": ""\""위세광명인\""\n세상을 밝게 비춘다는 대학 건학이념의 정신을 이어받아\n대학의 인재상은 ‘위세광명인’입니다.\n위세광명인은 도전ㆍ성장ㆍ자립하는 CHARM 역량을 갖춘 인재를 말합니다.""}]}]"
세명교육#기획실,세명대학교 인재상과 5대핵심역량을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 인재상 5대핵심역량""}, {""type"": ""image"", ""width"": """", ""height"": """", ""filename"": ""SMU_인재상과_5대핵심역량.png"", ""value"": ""http://chat.ezfinder.co.kr/konanbot/attachments/images/SMU_인재상과_5대핵심역량.png""}, {""type"": ""image"", ""width"": """", ""height"": """", ""filename"": ""SMU_인재상및역량.png"", ""value"": ""http://chat.ezfinder.co.kr/konanbot/attachments/images/SMU_인재상및역량.png""}]}]"
대학소개#기획실,세명대학교 상징물을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 상징물""}, {""type"": ""subtitle"", ""text"": ""s""}, {""type"": ""text"", ""text"": ""원하는 버튼을 눌러주세요.""}, {""type"": ""buttons"", ""layout"": ""vertical"", ""elements"": [{""type"": ""postback"", ""text"": ""교목"", ""value"": ""우리학교 교목은 뭐야?""}, {""type"": ""postback"", ""text"": ""교화"", ""value"": ""우리학교 교화는 뭐야?""}, {""type"": ""postback"", ""text"": ""교가"", ""value"": ""우리학교 교가는 뭐야?""}]}]}]"
대학소개#기획실,세명대학교 교목은 뭐야?,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 교목""}, {""type"": ""text"", ""text"": ""\""솔\""은 나무 중에서 가장 우두머리라는 뜻을 나타내는 \""수리\""라는 말에서 변천한 형태로 본다. 우리나라 전국 산야에서 널리 분포되어 있는 소나무는 집을 짓는 자재로 쓰일 뿐만 아니라 오래 사는 나무이므로 예로부터 10장생(十長生)의 하나로 장수(長壽)를 상징하는 나무로 삼아왔다.\n비바람, 눈보라와 같은 자연의 역경 속에서도 변함없이 늘 푸른 모습을 간직하며 그 기상은 꿋꿋한 절개와 의지를 상징하며, 푸름과 청정한 기상이 있어 역사, 문학에서도 절조, 의지, 충신의 상징으로 다뤄져 왔다.""}, {""type"": ""image"", ""width"": """", ""height"": """", ""filename"": ""SMU_교목.jpg"", ""value"": ""http://chat.ezfinder.co.kr/konanbot/attachments/images/SMU_교목.jpg""}]}]"
대학소개#기획실,세명대학교 교화는 뭐야?,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 교화""}, {""type"": ""text"", ""text"": ""우리 민족의 심미성과 슬기를 지닌 화사한 다홍색의 철쭉은 그 빛깔이 정열적이며 탐스러운 협동의 의미를 나타낸다.\n또한 철쭉은 척박한 산과 언덕에서도 잘 번식하며 추운 겨울을 이겨내고 이른 봄에 아름답게 피는 강한 생명력은 시련에도 강력하게 발전하는 우리의 민족성을 나타낸다.n\\ 철쭉은 겨울을 이기는 재생의 꽃이면서 봄을 전해주는 꽃이다. 기름지지 못한 땅에서도 곧잘 번식하는 낙옆관목으로 찬란함, 향기로움, 생명력을 상징한다.""}, {""type"": ""image"", ""width"": """", ""height"": """", ""filename"": ""SMU_교화.jpg"", ""value"": ""http://chat.ezfinder.co.kr/konanbot/attachments/images/SMU_교화.jpg""}]}]"
대학소개#기획실,세명대학교 교가는 뭐야?,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 교가""}, {""type"": ""text"", ""text"": ""- 1절 -\n태백의 정기 뻗은 용두산 기슭에 세명의 상아탑 우뚝 솟았네 진리 창의 봉사정신 근원되어 홍익인간 높은 뜻을 실천 하리라세세히 보전 하세 세명세명 대학 영원히 빛나리 세명대학교\n- 2절 -\n청룡의 힘찬기상 신월의 터전에서  학문열기 샘솟아 세계를 꽃피운다 인의 예지 갈고닦는 건아들 미래향해 등불 밝혀 온누리 비추리라 세세히 보전하세 세명세명 대학 영원히 빛나리 세명대학교""}, {""type"": ""image"", ""width"": """", ""height"": """", ""filename"": ""SMU_교가.jpg"", ""value"": ""http://chat.ezfinder.co.kr/konanbot/attachments/images/SMU_교가.jpg""}]}]"
대학소개#기획실,세명대학교 심볼마크는 뭐야?,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 심볼마크""}, {""type"": ""text"", ""text"": ""심볼마크\n세명대학교의 심볼마크는 워드 마크로서 세명대학교 Identity 핵심요소로 세명대학교를 대표하는 모든 매체에 사용되어 이미지를 전달하는 중요한 역할을 담당합니다. 따라서 임의로 형태나 색상을 변경하여서는 안됩니다.""}, {""type"": ""image"", ""width"": """", ""height"": """", ""filename"": ""SMU_심볼마크.jpg"", ""value"": ""http://chat.ezfinder.co.kr/konanbot/attachments/images/SMU_심볼마크.jpg""}]}]"
대학소개#기획실,세명대학교 로고타입은 뭐야?,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 로고타입""}, {""type"": ""text"", ""text"": ""로고타입\n로고타입은 마크와 더불어 세명대학교의 ldentity를 시각적으로 전달하는 가장 기본적인 요소이며 UI의 핵심적인 요소입니다. 로고타입은 마크와의 조합성을 고려하여 디자인 되었으므로 임으로 변형할 수 없으며, 국문, 영문, 한문 등으로 디자인되었습니다.""}, {""type"": ""image"", ""width"": """", ""height"": """", ""filename"": ""SMU_로고타입.png"", ""value"": ""http://chat.ezfinder.co.kr/konanbot/attachments/images/SMU_로고타입.png""}]}]"
대학소개#기획실,세명대학교 전용색상은 뭐야?,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 전용색상""}, {""type"": ""text"", ""text"": ""버튼을 눌러 세명대학교 전용색상을 확인하세요.\n전용색상은 마크, 로고타입과 더불어 세명대학교의 Identity를 형성하는 3대 요소 중의 하나이다.\n표현매체에 따라 명도, 채도 등 차이가 날 수 있으므로 색상 재현시 최상의 표준색상을 얻기위해서는 아래의 예시에 제시된 사항을 정확히 준수하여야 합니다. 본 규정의 기준으로 판단이 어려운 경우 반드시 UI관리부서와 협의하여 제작하도록 합니다.\nhttp://www.semyung.ac.kr/kor/sub01_04_04_03.do""}]}]"
대학소개#기획실,세명대학교 시그니처는 뭐야?,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 시그니처""}, {""type"": ""text"", ""text"": ""해당사이트로 안내하겠습니다.""}, {""type"": ""buttons"", ""layout"": ""vertical"", ""elements"": [{""type"": ""web_url"", ""text"": ""시그니처 확인하기"", ""url"": ""http://www.semyung.ac.kr/kor/sub01_04_04_04.do""}]}]}]"
대학소개#기획실,세명대학교 교직원현황을 알려줘.,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 교직원현황""}, {""type"": ""text"", ""text"": ""원하는 버튼을 눌러주세요.""}, {""type"": ""buttons"", ""layout"": ""vertical"", ""elements"": [{""type"": ""postback"", ""text"": ""교원현황"", ""value"": ""우리학교 교원현황을 알려줘""}, {""type"": ""postback"", ""text"": ""직원현황"", ""value"": ""우리학교 직원현황을 알려줘""}]}]}]"
대학소개#기획실,세명대학교 교원현황을 알려줘,"[{""elements"": [{""type"": ""title"", ""text"": ""우리학교 교원현황""}, {""type"": ""text"", ""text"": ""교원현황\n    <table style=\""text-align:center; width:100%\"" border=1>   <colgroup>   <col style=\""width: 25%;\"">   <col style=\""width: 25%;\"">   <col style=\""width: 25%;\"">   <col style=\""width: 25%;\"">  </colgroup>  <thead>   <tr>    <th colspan=\""2\"" scope=\""col\"">구분</th>    <th colspan=\""2\"" scope=\""col\"">인원 수</th>   </tr>  </thead>  <tbody>   <tr>    <td colspan=\""3\"">계</td>    <td>625</td>   </tr>   <tr>    <td rowspan=\""3\"">전임교원</td>    <td>교수</td>    <td>110</td>    <td rowspan=\""3\"">279</td>   </tr>   <tr>    <td>부교수</td>    <td>90</td>   </tr>   <tr>    <td>조교수</td>    <td>79</td>   </tr>   <tr>    <td rowspan=\""3\"">비전임교원</td>    <td>겸임교수</td>    <td>51</td>    <td rowspan=\""3\"">259</td>   </tr>   <tr>    <td>시간강사</td>    <td>168</td>   </tr>   <tr>    <td>기타</td>    <td>40</td>   </tr>   <tr>    <td>조교</td>    <td></td>    <td>87</td>    <td>87</td>   </tr>  </tbody> </table>""}]}]"
